fld_prodid,fld_level0,fld_level0id,Category,ID,Category,ID,Name,Business Type,Description,Year Of Establishment,Landline,Mobile,E-mail,Web address,Address,Pincode,Working Hours,Working Days,Mode of Payment,Logo Location,,
50,Building Services,15,3D Designer,6,3D Designer,6,Cadd Engineers,CAD Designing,Cadd engineers give us good result quality output for the cad digitization optical fibre cable route drawings. They have done our outsourcing freelance projects,2009,,9655655995,,,No 189 Near Thirumalai Nayakar Mahal Palace Road Madurai HO Madurai - 625001 ,625001,08:00 am to 09:00 pm,Monday To Sunday,"Cash,Cheques",,,
51,Building Services,15,3D Designer,6,3D Designer,6,Suresh Advertising,Designing,Suresh Advertising give us good result quality output for the cad digitization optical fibre cable route drawings. They have done our outsourcing freelance projects,,2333402 | 2333402,9842188421 | 9842289421,,,No 24-A Rajalakshmi Complex Ist Floor Near Jewellery Bazaar Kanchamettu Street Madurai HO Madurai - 625001,625001,09:30 am to 06:30 pm | Closed,"Monday To Saturday |
Sunday","Cash,Cheques",,,
52,Building Services,15,Architect,1,Architect,1,Sun interior and Builders,Architect,In 1879 the Longines Watch cartier replica watches Company of Switzerland was first produced called Chronograph system model the Longines legend become glorious imprint in the history of Cisco 642-584 human tabulation. This timing system assist global players and adventurer first step make a profound contribution to human conquered countless sea land empty in twentieth replica watches Century. making By 1904 Longines ExpressMonarch has been American expedition praise in a 429 day trip the Longines clock can Cisco 648-266 maintain the difference is only four seconds accuracy amazing.,2001,,9843012378 |ÿ9750947653,,www.sunmodularinteriorstore.com,No 125c Katchery Road Madurai HO Madurai - 625001,625001,09:00 am to 09:00 pm | 09:00 am to 09:00 pm and 12:00 am to 12:00 am,"Monday To Saturday |
Sunday","Cash,Master Card",Sun-interior-and-Builders.jpg,,
53,Building Services,15,Architect,1,Architect,1,ÿRoyal Builders,Architect,Royal Builders is here in this field for many years. We deal with Building Consultants and Contractors. Your happiness is our satisfaction. We are experienced service providers catering to the requirements of our valuable clients. We assure that you will walk out with pleasurable experience as our customer. Contact us for your needs,2008,452-4396161,9095724282 |ÿ8695482983,royalmarketing.inco@yahoo.com,,No 58 Laguduvan Plaza 2nd Floor Opposite Coffee Day and Upstair Puppys Bakery 80 Feet Road Anna Nagar Madurai Madurai - 625020,625020,09:00 am to 09:00 pm,Monday To Sunday,"Cash,Cheques",,,
54,Building Services,15,Architect,1,Architect,1,Brahmaa Architects,Architect,Brahamaa Architects is a composite design firm offering specilist in Architectural @ interior design. We are indis based organisatiom and our Area of service covers infotech projects residential and commercal Institutional and hotel buildings Entertainment and recreational projects..,2000,452-4225774,9894999998 |ÿ8489278112,,www.brahmaaarchitects.com,No 66 J Vani Illam Opposite Mary Ann School D R O Colony Main Road . K Pudhur Madurai Ho Madurai - 625001,625001,09:00 am to 08:00 pm,Monday To Sunday,"Cash,Cheques",Brahmaa-Architects.jpg,,
55,Building Services,15,Architect,1,Architect,1,AAA Decorators,Architect,Contrary to popular belief Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC making it over 2000 years old. Richard McClintock a Latin professor at Hampden-Sydney College in Virginia looked up one of the more obscure Latin words consectetur from a Lorem Ipsum passage and going through the cites of the word in classical literature discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ?de Finibus Bonorum et Malorum? (The Extremes of Good and Evil) by Cicero written in 45 BC. This book is a treatise on the theory of ethics very popular during the Renaissance. The first line of Lorem Ipsum ?Lorem ipsum dolor sit amet..? comes from a line in section 1.10.32.,2007,,9944097595 |ÿ8015740186,,www.aaadecorator.com,26|A Kazimar street3rd Lane Madurai HO Madurai - 625001,625001,12:00 am to 11:59 pm,Monday To Sunday,"Cash
Master Card
Visa Card
Debit Cards
Money Orders
Cheques",AAA.jpg,,
56,Building Services,15,Architect,1,Architect,1,Mathura Associates,Architect,ess is our satisfaction. We are experienced service providers catering to the requirements of our valuable clients. We assure that you will walk out with pleasurable experience as our customer. ,2006,,9965881704 |ÿ9600631864,,,No 47b 1st Floor Upstrais Uniion Bank ATM Near Central Theatre Town Hall Road Madurai City Madurai - 625001,625001,04:30 pm to 07:00 pm and 04:00 pm to 07:00 pm |  05:30 am to 05:30 am and 04:00 pm to 07:00 pm,"Monday To Saturday |
Sunday","Cash,Cheques",,,
57,Building Services,15,Architect,1,Architect,1,Sree Meenakshi Traders and Builders,Architect,My home construction in Anuppanady around 3000 sqft done in excellent way. Best - Reliable construction very open quotations and approachable builders. Things can be improved - ours got one month delay due to minor finishing works.,2009,452-2310018,9843440970 |ÿ9244886666,,,No 9 Near Theppakulam Teachers Colony Anuppanady Madurai - 625009,625009,09:00 am to 07:00 pm | ÿ09:00 am to 07:00 pm,"Monday To Saturday |
Sunday","Cash,Cheques",,,
58,Building Services,15,Architect,1,Architect,1,Cool Creators,Architect,Cool Creators we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. We deal with Plan Plan Estimate Approval Plan 3D View Layout and Interior Drawing. For more details contact us,2012,0452 - 4255477,8220047477 |ÿ9597718777,coolcreators@india.com,,"
No 153|S Near Sithi Vinayagar Temple North Veli Street Madurai Ho Madurai - 625001",625001,10 AM - 7 PM,Monday To Saturday,"Cash,Cheques",,,
59,Building Services,15,Architect,1,Architect,1,SAS DESIGN CONSULTANTS ARCHITECTSPLANNERSINTERIOR DESIGNERS3D-VISUALIZER,Architect,we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings.,,452-2482245,9865244993,,,NO A-13RENGANATHAN STREET OPP TO ANNAPARK-THIRUNAGAR THIRUNAGAR-ANNA PARK Madurai HO Madurai - 625001,625001,09:00 am to 09:00 pm | 05:30 am to 05:30 am,"Monday To Saturday |
Sunday",Cash,,,
60,Building Services,15,Architect,1,Architect,1,N M Construction,Architect,Founded 25 years ago we N.M Constructions is a renowned construction company based in Madurai India offering a wide range of residential and commercial buildings all around the region. Moreever building constructions we also provide various real estate solutions with support of our professionals. With possessing over two decades of experience we have occupied the top position in the real estate industry. Offering on time affordable real estate and construction service in our specialty. Our services include building constructions civil work and some other type of real estate solutions across the Madurai. We offer you most trustworthy and genuine real estate solutions under the guidance of our skilled and experienced experts.,1990,,9843150297,,,No 49 Opposite Noyes School P T Rajan Road Narimedu Madurai - 625002,625002,10:00 am to 09:00 pm,Monday To Saturday,"Cash,Cheques",,,
61,Building Services,15,Architect,1,Architect,1,Vsk Buiilders,Architect,we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings.,2000,452-4246665,9842199372 |ÿ9894008834,,,No 141 142 A Svsk Towers Opposite Tallakulam Bus Stop Alagar Kovil Main Road Tallakulam Madurai - 625002,625002,ÿ09:00 am to 09:00 pm,Monday To Sunday,"Cash,Cheques",,,
62,Building Services,15,Architect,1,Architect,1,Blessy Construction,Architect,Blessy Constructionsÿis one of the famous construction companies in Madurai. We have a wide range of constructions services for our clients. We have 20 years of experience in this field. We have well experienced engineers to provide quality contruction. If you are searching for best constructions companies in Madurai Contact Blessy Constructions. We are specialized in offering apartments constructions.,2008,452-2562411,9442564448 |ÿ9842175975,,,No 70 Near ICICI Bank ATM Alagar Kovil Main Road K Pudhur Madurai - 625007,625007,09:00 am to 07:00 pm,Monday To Saturday,"Cash,Cheques",,,
63,Building Services,15,Architect,1,Architect,1,L and B Associates,Architect,This is about us section for busines listing. Here customer will show information about their business how they work and why we should pick only to them.,1997,,9790081612 |ÿ9444381613,,,No 11|1 Near Arasan Sweets E2e2 Road Chinna Chokkikulam Madurai - 625002,625002,09:30 am to 07:30 pm,Monday To Saturday,"Cash,Cheques",,,
64,Building Services,15,Architect,1,Architect,1,Makeshwari Designs and Constructions,Architect,This is about us section for busines listing. Here customer will show information about their business how they work and why we should pick only to them.,1993,,9843170177,,,No 149 A and B Karur Vysa Bank Basement Alagar Kovil Main Road Tallakulam Madurai - 625002,625002,09:30 am to 09:30 pm,Monday To Saturday,"Cash,Cheques",,,
65,Building Services,15,Contractors,2,Contractors,2,ÿRoyal Builders,Building Contractors,Royal Builders is here in this field for many years. We deal with Building Consultants and Contractors. Your happiness is our satisfaction. We are experienced service providers catering to the requirements of our valuable clients. We assure that you will walk out with pleasurable experience as our customer. Contact us for your needs,2008,452-4396161,9095724282 |ÿ8695482983,royalmarketing.inco@yahoo.com,,No 58 Laguduvan Plaza 2nd Floor Opposite Coffee Day and Upstair Puppys Bakery 80 Feet Road Anna Nagar Madurai Madurai - 625020,625020,09:00 am to 09:00 pm,Monday To Saturday,"Cash,Cheques",,,
66,Building Services,15,Contractors,2,Contractors,2,AAA Decorators,Building Contractors,Contrary to popular belief Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC making it over 2000 years old. Richard McClintock a Latin professor at Hampden-Sydney College in Virginia looked up one of the more obscure Latin words consectetur from a Lorem Ipsum passage and going through the cites of the word in classical literature discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ?de Finibus Bonorum et Malorum? (The Extremes of Good and Evil) by Cicero written in 45 BC. This book is a treatise on the theory of ethics very popular during the Renaissance. The first line of Lorem Ipsum ?Lorem ipsum dolor sit amet..? comes from a line in section 1.10.32.,2007,,9944097595 |ÿ8015740186,,www.aaadecorator.com,26|A Kazimar street3rd Lane Madurai HO Madurai - 625001,625001,12:00 am to 11:59 pm,Monday To Sunday,"Cash ,Master Card ,Visa Card ,Debit Cards ,Money Orders ,Cheques",AAA-1.jpg,,
67,Building Services,15,Contractors,2,Contractors,2,Green Park Realtors,Building Contractors,We undertake various successful commercial and residential projects in and around Madurai. We have won many prestigious awards and certificates for elevating unique and exotic constructions,2013,452-2564999,9443344677 |ÿ9944792888,greenparkrealtors@gmail.com,,83-84 Venus Plaza Opposite Syndicate Bank 120 Feet Road Mattuthavani Road K Pudhur Madurai - 625007,625007,09:00 am to 06:00 pm,Monday To Saturday,"Cash, Debit Cards ,Money Orders ,Cheques ,Financing Available ,Credit Card",,,
68,Building Services,15,Contractors,2,Contractors,2,Mathura Associates,Building Contractors,ess is our satisfaction. We are experienced service providers catering to the requirements of our valuable clients. We assure that you will walk out with pleasurable experience as our customer. ,2006,,9965881704 |ÿ9600631864,,,No 47b 1st Floor Upstrais Uniion Bank ATM Near Central Theatre Town Hall Road Madurai City Madurai - 625001,625001,04:30 pm to 07:00 pm and 04:00 pm to 07:00 pm | 05:30 am to 05:30 am and 04:00 pm to 07:00 pm,"Monday To Saturday |
 Sunday","Cash,Cheques",,,
69,Building Services,15,Contractors,2,Contractors,2,Y G Construction,Building Contractors,Our firm was established with a motto to present affordable living and work spaces comprising essential features and facilities that attracts our clients widely. We undertake various successful commercial and residential projects in and around Madurai. We have won many prestigious awards and certificates for elevating unique and exotic constructions. Y.G.Construction designs every constructions with the distinct aspect to deliver convenient and comfortable stay.ÿWe also offer cost-efficient real estate solutions like buying|selling properties documentation works to ease the process and other construction services. With our unified and advanced approach towards constructions offers highly functional structures which gives value for your investments. We consider your ideas towards your dream home and present you a perfect space that accurately matches all your needs.,1996,452-2677555,9894928280 |ÿ9842173888,,www.ygconstruction.com,Plot 4052 Tnhb Villapuram Housing Board Villapuram Madurai - 625012,625012,12:00 am to 11:59 pm,Monday To Sunday,"Cash ,Master Card ,Visa Card ,Debit Cards ,Credit Card ",Y-G-Construction.jpg,,
70,Building Services,15,Contractors,2,Contractors,2,Blessy Construction,Building Contractors,Blessy Constructionsÿis one of the famous construction companies in Madurai. We have a wide range of constructions services for our clients. We have 20 years of experience in this field. We have well experienced engineers to provide quality contruction. If you are searching for best constructions companies in Madurai Contact Blessy Constructions. We are specialized in offering apartments constructions.,2008,452-2562411,9442564448 |ÿ9842175975,,,No 70 Near ICICI Bank ATM Alagar Kovil Main Road K Pudhur Madurai - 625007,625007,09:00 am to 07:00 pm,Monday To Saturday,"Cash,Cheques",,,
71,Building Services,15,Contractors,2,Contractors,2,Keizen Constructions,Building Contractors, We undertake various successful commercial and residential projects in and around Madurai. We have won many prestigious awards and certificates for elevating unique and exotic constructions,1999,,9894014174 |ÿ9894014074,,,No 305 Rajan Complex Adjuscent To Bell Hotel Tamil Sangam Road Madurai North Madurai - 625001,625001,09:00 am to 08:00 pm,Monday To Saturday,"Cash,Cheques",,,
72,Building Services,15,Contractors,2,Contractors,2,Pearl Construction,Building Contractors,Based in Madurai ?Pearl Construction? is a recognized service provider engaged in offering a wide collection of Housing Projects. Our range of services comprises Medavakkam Project Perumbakkam Project Completed Project and Proposed Projects. Our building construction projects are acknowledged in the market for their proper documentation reliability and cost effectiveness. Our main objective is to achieve high level customer satisfaction by providing a great return of investment for investors. We are empowered by a team of experienced property consultants which helps you in all types of construction solutions in terms of acquisition sale and renting of houses in the most prime locations. Moreover ?Pearl Construction? not only wants to offer its services in Chennai but to expand its business countrywide.,2000,452-4231641,9367762641 |ÿ9841820418,,,Avm Complex By Pass Road Near State Bank Of Travancore Annai Teresa Street 1st Street Madurai Ho Madurai - 625001,625001,09:30 am to 07:00 pm,Monday To Saturday,"Cash,Cheques",pearls.jpg,,
73,Building Services,15,Contractors,2,Contractors,2,Raaja Construction,Building Contractors,Offering on time affordable real estate and construction service in our specialty. Our services include building constructions civil work and some other type of real estate solutions across the Madurai. ,1989,0431 - 2472670,9442026660 |ÿ9843009977,,www.rajacranes.com,No 5 Opposite To Rc Church Bastin Nagar Matha Kovil Street Bethaniyapuram Madurai - 625016ÿ,625016ÿ,09:00 am to 09:30 pm,Monday To Saturday,"Cash ,Debit Cards",,,
74,Building Services,15,Contractors,2,Contractors,2,Ramesh Centering works,Building Contractors,RAMESH Centering Works is a division of RAMESH Property Developers - Madurai. This Division supplies Steel Centering and Centering based prominet Formwork centering material Scaffolding Materials Centering Sheets Plywood Centrring Spans and Props Construction Equipments - Mixture Machine Earch Rammer and Builders Hoist and so on.,2011,,9585442266 |ÿ9585458135,,www.rameshcenteringworks.com,No 86 A|2 Opposite To Prc Head Office Arul Nagar Bye Pass Road S S Colony Madurai - 625016,625016,12:00 am to 11:59 pm,Monday To Sunday,"Cash,Cheques",Ramesh-Centering-works.jpg,,
75,Building Services,15,Contractors,2,Contractors,2,N M Construction,Building Contractors,Founded 25 years ago we N.M Constructions is a renowned construction company based in Madurai India offering a wide range of residential and commercial buildings all around the region. Moreever building constructions we also provide various real estate solutions with support of our professionals. With possessing over two decades of experience we have occupied the top position in the real estate industry. Offering on time affordable real estate and construction service in our specialty. Our services include building constructions civil work and some other type of real estate solutions across the Madurai. We offer you most trustworthy and genuine real estate solutions under the guidance of our skilled and experienced experts.,1990,,9843150297,,,No 49 Opposite Noyes School P T Rajan Road Narimedu Madurai - 625002,625002,10:00 am to 09:00 pm,Monday To Saturday,"Cash,Cheques",,,
76,Building Services,15,Contractors,2,Contractors,2,Ramanand Builders,Building Contractors,Offering on time affordable real estate and construction service in our specialty. Our services include building constructions civil work and some other type of real estate solutions across the Madurai. ,1984,,9842195859 |ÿ9791916161,,www.ramanandbuilders.com,Plot No 36 Thaai Mukambikai Nagar Opposite To PC Perunganyam Company Pandi Kovil Maruthupandiyar 1st Street Sivagangai Main Road Madurai Ho Madurai - 625001,625001,ÿ09:30 am to 06:30 pm,Monday To Saturday,"Cash,Cheques",Ramanand-Builders.jpg,,
77,Building Services,15,Contractors,2,Contractors,2,Sree Meenakshi Traders and Builders,Building Contractors,My home construction in Anuppanady around 3000 sqft done in excellent way. Best - Reliable construction very open quotations and approachable builders. Things can be improved - ours got one month delay due to minor finishing works.,2009,452-2310018,9843440970 |ÿ9244886666,,,No 9 Near Theppakulam Teachers Colony Anuppanady Madurai - 625009,625009,09:00 am to 07:00 pm | 09:00 am to 07:00 pm,Monday To Saturday | Sunday,"Cash,Cheques",,,
78,Building Services,15,Contractors,2,Contractors,2,Elite Developers,Building Contractors,A passion to design creative well spaced out apartments is the criteria we believe is the niche of our projects. We respect and value our clients thoughts and hence we put in more effort for our projects to be based out at strategic locations. Quality in construction at par with premium builders aesthetics spaces of design and affordability.,2012,452-4250177,8940568033 |ÿ9790222020,info@elitedeveloper.in,www.elitedeveloper.in,No 136 Shop No 5 Kallalagar Complex Near Hello Fm Alagarkovil Main Road Tallakulam Madurai - 625002,ÿ625002,09:30 am to 06:30 pm | 05:30 am to 05:30 am.,Monday To Saturday | Sunday,Cash,Elite-Developers.jpg,,
79,Building Services,15,Contractors,2,Contractors,2,P V Associates,Building Contractors,We respect and value our clients thoughts and hence we put in more effort for our projects to be based out at strategic locations. Quality in construction at par with premium builders aesthetics spaces of design and affordability.,2010,,9842147012 |ÿ9842135875,,,No 2|11 Munichalai Road Lakshmi Puram 1st Street Madurai Ho Madurai - 625001,625001,12:00 am to 11:59 pm,Monday To Sunday,"Cash ,Debit Cards,
Cheques ,Credit Card",,,
80,Building Services,15,Contractors,2,Contractors,2,Mk Associates Civil Engineers and Contractors,Building Contractors,A passion to design creative well spaced out apartments is the criteria we believe is the niche of our projects. We respect and value our clients thoughts and hence we put in more effort for our projects to be based out at strategic locations. Quality in construction at par with premium builders aesthetics spaces of design and affordability.,2000,,9842106979 |ÿ9842306979,,,No 43|6b Near Ptr Tea Stall Panthadi 7th Street Madurai Ho Madurai - 625001,625001,09:00 am to 09:00 pm,Monday To Sunday,"Cash ,Cheques ,Financing Available",,,
81,Building Services,15,Engineers,3,Engineers,3,ÿRoyal Builders,Civil Engineers,Royal Builders is here in this field for many years. We deal with Building Consultants and Contractors. Your happiness is our satisfaction. We are experienced service providers catering to the requirements of our valuable clients. We assure that you will walk out with pleasurable experience as our customer. Contact us for your needs,2008,452-4396161,9095724282 |ÿ8695482983,royalmarketing.inco@yahoo.com,,No 58 Laguduvan Plaza 2nd Floor Opposite Coffee Day and Upstair Puppys Bakery 80 Feet Road Anna Nagar Madurai Madurai - 625020,625020,09:00 am to 09:00 pm,Monday To Sunday,"Cash,Cheques",,,
82,Building Services,15,Engineers,3,Engineers,3,Cool Creators,Civil Engineers,Cool Creators we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. We deal with Plan Plan Estimate Approval Plan 3D View Layout and Interior Drawing. For more details contact us,2012,0452 - 4255477,8220047477 |ÿ9597718777,coolcreators@india.com,,"
No 153|S Near Sithi Vinayagar Temple North Veli Street Madurai Ho Madurai - 625001",625001,10 AM - 7 PM,Monday To Saturday,"Cash,Cheques",,,
83,Building Services,15,Engineers,3,Engineers,3,Vsk Buiilders,Civil Engineers,we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings.,2000,452-4246665,9842199372 |ÿ9894008834,,,No 141 142 A Svsk Towers Opposite Tallakulam Bus Stop Alagar Kovil Main Road Tallakulam Madurai - 625002,625002,ÿ09:00 am to 09:00 pm,Monday To Sunday,"Cash,Cheques",,,
84,Building Services,15,Engineers,3,Engineers,3,Blessy Construction,Civil Engineers,Blessy Constructionsÿis one of the famous construction companies in Madurai. We have a wide range of constructions services for our clients. We have 20 years of experience in this field. We have well experienced engineers to provide quality contruction. If you are searching for best constructions companies in Madurai Contact Blessy Constructions. We are specialized in offering apartments constructions.,2008,452-2562411,9442564448 |ÿ9842175975,,,No 70 Near ICICI Bank ATM Alagar Kovil Main Road K Pudhur Madurai - 625007,625007,09:00 am to 07:00 pm,Monday To Saturday,"Cash,Cheques",,,
85,Building Services,15,Engineers,3,Engineers,3,Structurz,Civil Engineers,The company has a work force which includes engineers architects skilled and unskilled workmen. Our team of experienced professionals approaches your project with the highest level of enthusiasm. Each member takes pride in their work and is dedicated to your total satisfaction.,1979,452-2660311,9787403903 |ÿ9843471284,bdm.structurz@gmail.com,,No 10|6 Near Ramana Hospital Opposite Fathima College Jeyaraj Nagar Vilangudi Vilangudi Madurai - 625018,625018,09:00 am to 09:00 pm,Monday To Saturday,"Cash,Cheques",Structurz.jpg,,
86,Building Services,15,Engineers,3,Engineers,3,KUMARI CONSULTANCY,Civil Engineers,We respect and value our clients thoughts and hence we put in more effort for our projects to be based out at strategic locations. ,,0452-3241386,9842151876 | 9488739594,ÿkumariconsultancy@gmail.com,,"79 Chandran Mess Ist Floor Alagar Kovil Main Road
Tallakulam Madurai 
Tamilnadu India - 625002.",625002,09:30 am to 09:00 pm,Monday To Saturday,Cash,KUMARI-CONSULTANCY.jpg,,
87,Building Services,15,Engineers,3,Engineers,3,GOLDEN CONSTRUCTION | GOLDEN MARKETING,Civil Engineers,we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings.,,ÿ0452-4504180,ÿ7871183111 | 7871181555,goldenmarketingindia@gmail.com,www.goldenconstructionmdu.com,"No.6 T. P. K. Road
Palanganatham Madurai 
Tamilnadu India - 625003.",625003,09:30 am to 09:00 pm,Monday To Saturday,Cash,GOLDEN-CONSTRUCTION.jpg,,
88,Building Services,15,Engineers,3,Engineers,3,Enviro Builders,Civil Engineers,Enviro Builders ki sazawat bahut hi badiya hoti h... inke dwara use kiye gaye flowers bahut hi badiya or taza hote h... agar aap ek baar inke dwara ki huyi decoraion dekh le to har baar inhi se kaam karwayenge....,,0452 - 2675177,9842855944,,,46 Villapuram Madurai Villapuram Madurai - 625012,ÿ625012,09:30 am to 09:30 pm,Monday To Saturday,Cash,,,
89,Building Services,15,Engineers,3,Engineers,3,Vairam Builders,Civil Engineers,"Our ultimate solution to fulfill your dreams to lead a comfortable and luxurious life.

Our team of Eminent Architects Eficient Engineers Excellent Workers and Exclusive facilities are ready to make you Experience the Extra-ordinary way of Living.",,452-2584336,9842133445,vairamconstructions@yahoo.co.in,,2|466 Gomathipuram Melamadai 6th Street Madurai HO Madurai - 625001,625001,09:00 am to 06:30 pm,Monday To Sunday,Cash,Vairam-Builders.jpg,,
90,Building Services,15,Engineers,3,Engineers,3,K S Constructions,Civil Engineers,"K S Construction is currently under contract to Maranatha Volunteers International providing
Construction  Management consulting leadership design and support services on numerous projects
both stateside and internationally.   ",2003,452-2600845,9443373845,,,4 A 1st Floor Opp Jeyam Theatre Bye Pass Road Vasantha Nagar Madurai Ho Madurai - 625001,625001,09:30 am to 06:30 pm,Monday To Saturday,Cash,,,
91,Building Services,15,Engineers,3,Engineers,3,ABC Construction,Civil Engineers, We are experienced service providers catering to the requirements of our valuable clients. We assure that you will walk out with pleasurable experience as our customer. ,1998,,9751439300,,,5Bharath Krishna Bhavan Near Senthil Andavar Kalyana Mandapam Vasantha Nagar 3rd StreetPalanganatham Madurai HO Madurai - 625001,625001,09:00 am to 09:00 pm,Monday To Saturday,"Cash, Master Card ,Visa Card ,Debit Cards ,Money Orders ,Cheques ,Diners Club Card, Financing Available ,American Express Card ,Credit Card",ABC-Construction.jpg,,
92,Building Services,15,Engineers,3,Engineers,3,Sankara Narayanan S,Civil Engineers,Our services include building constructions civil work and some other type of real estate solutions across the Madurai. We offer you most trustworthy and genuine real estate solutions under the guidance of our skilled and experienced experts.,2000,,9894141996,,,36-A jeya complex jew jail road Madurai HO Madurai - 625001,625001,09:30 am to 09:30 pm,Monday To Saturday,"Cash, RTGS",,,
93,Building Services,15,Engineers,3,Engineers,3,Yasin Builders,Civil Engineers,We are the forerunner for making of Modern city Kasim Residency which has been relatively compared with the constructions found in top Metropolitan city. The vast experience gained in the business extends to the Real Estate Industry also to formulate and comprehend the concept of a Home.,1947,452-4356666,9345213535 |ÿ9952116369,ÿyasinbuildersmadurai@gmail.com,www.yasinbuilders.in,No 4 Opposite Railway Junction West Velli Street Madurai City Madurai - 625001,625001,12:00 am to 11:30 pm,Monday To Sunday,Cash,Yasin-Builders.jpg,,
94,Building Services,15,Engineers,3,Engineers,3,V Smart Associates,Civil Engineers, We respect and value our clients thoughts and hence we put in more effort for our projects to be based out at strategic locations.,2008,,9842467404 |ÿ8870667404,www.vsmartassociates.com,,5A Opposite to Good Luck School Meenakshi Nagar 2nd Street Villapuram Madurai - 625012ÿ,625012,,,Cash,,,
95,Building Services,15,Engineers,3,Engineers,3,ÿMalar Consulting Engineers,Civil Engineers,We have won many prestigious awards and certificates for elevating unique and exotic constructions,1994,452-2682004,9842525148,,,2|1118new natham road near vasantham hotel Iyer Bungalow Madurai - 625014,625014,ÿ09:00 am to 02:00 pm,Monday To Saturday,"Cash ,Cheques ,RTGS",,,
